0,"All extremism is bad. Feminism is authoritarian left-wing garbage that will absolutely
destroy society. Same with right-wing extremism, with them you get Waco, Timothy
McVeigh, Anders Breivik and other terrorists.3 With the left you can get commie savages
and liberal college educated (see: money wasters) degenerates.
The greatest countries in the world are reasonably progressive centrist nations dedicated
to peace. America is mostly extremism and idiocy; the liberals are a disgrace to left-wing
politics and the republicans to the right wing.
Now I'm not calling for women being beaten up, mutilated and forced into wearing those
robes that cover all their skin like they do in Papa New Guinea or the middle east.
All I want is for them to treat men with respect and to not be hypocritical degenerate
money wasting idiots. There are a few real women out there.. Budd Dwyer's wife, the
Liberian Monkey Island researcher wife, a few.
You know what makes them real women? Intelligence, loyalty, determination. Most
american women? Brain-dead, immature, cheating, lazy, fat, mentally damaged.
It is obvious to anyone that this country has failed. My grand father served in WW2, Korea
and Vietnam.. all just for his children's generation to fuck everything up, and for their
kid's generation to finish the job."
0,Kill yourself. Make the world a better place.
0,"Oh and all the school shootings every 2 days. Schools are hostile anti-intellectual
prison facilities that put children in a fierce and unforgiving competition, force them to
memorize rudimentary facts, join into a hivemind agenda, restrict critical thinking and
produce slaves."
0,"I've already lived in Texas, namely Abilene from 2000~2002."
0,"Women have always had it easy. Us men cannot have any emotion, we have to be into
sports and killing, and we have to be strong. Women are only expected to use up our
resources and -- in a distant past, take care of the family unit.
Modern women, however, don't raise their kids. I know my little brother's best friend lived
in a household with a single mother. She was 250+ pounds, made him do all of the chores
and cleaning, and ignored the two youngest children. Those kids have spent most of their
time playing video games instead of being taught values and morality. They will not have
anything to reflect back on when they are older, and it is likely they will grow up weaker
physically and mentally than would be.
That single mother? She married a jock football player at age 17, only to divorce him 8
years later and stunt the family. 50$ says she probably had some nice guy friends who she
neglected or treated like shit. If she married one of the nerds / nice guys, I'd guarantee the
entire family would be better off.
Women ignore and bully nice guys, and leave them to be rather miserable and rejected
for their lifetime. The intellectuals and benevolent people usually never get laid and
get bullied well into adulthood. It doesn't really change after high school. Yet retards,
gearheads, and douchebags get rewarded for their idiocies.
This is evidence enough that women are stupid. Dish in the constant nagging, gold-
digging, manipulating, hypersexuality, cheating and so many other aspects of the typical
'liberated' woman, and anyone who doesn't have their head in their ass will agree that
civilization has a major moral crisis going on.
And yet for what I have just said, I would be shunned by most people, even though it's the
reality. P.C. degenerates are destroying society."
0,"I'm against gay marriage because I do not want them to experience the soul crushing pain
that follows a long time committed relationship, just for 99% of them to fail. All that hard
work and energy, cast away within a short time, a powerful partnership obliterated often
by corrupt avarice.
If gay people had to suffer the romance us straight people live, then they wouldn't be
happy anymore, and I cannot let that happen. They are too precious."
0,"Mid 2014?!
Wow, I was going on a nostalgia frenzy, scanning through my past. .. My current life is
so damned miserable. I got few friends anymore, no social life online or offline outside
of some infrequent comments on youtube / steam. My alt channel (made in 2009 as a
backup for mrapophis) is barely surviving at 9 subs, less than 200 views. G+ Youtube
is difficult for me to get used to! My life has no purpose anymore :( My last resort for
socialization - my family, they ignore me now. Douchebags! But, it is halfway through
2014! The time, unfortunately flied. If only I could go back in time 20 years! YEAR - RANK
1994 *** 1995 **** 1996 ***** 1997 ***** 1998 ***** 1999 ***** 2000 ***** 2001 ****
2002 *** 2003 *** 2004 *** 2005 * 2006 * 2007 *** 2008 **** 2009 *** 2010 ** 2011 *
2012 * 2013 * 2014 * Story of my life. If any of my family ever sees this, you assholes better
start being a real family. Let's go for a walk, watch some movies, ANYTHING as a family.
Im tired of vegging out!"
0,"[Commenting on the video game Majora’s Mask:]
I was 5 when it came out. I was in the UK, where my bro played the hell outta the PSX/
N64 games. He just got in MM and played it, but when he was at school or asleep, I would
play on my own save. I didn't finish it much, but I did re-discover it at age 8. It was one
of the few games I had left, besides OOT and SM64. I would come home from my crappy
school, sit down and watch the colbert report and play some zelda. It was a depressing
game, and I was a depressed kid. It multiplied the effects.."
0,"I sometimes get high and jack off 10 times in a day
Also while high, I might play LSD dream emulator
I still play maplestory and WoW (though, only once in a blue moon)
I sleep as much as I can and usually have a migrating sleep schedule
I barely get out of the house
I barely socialize
I barely socialize online
I waste my life as the years soar by.. It's already the 2nd half of 2014 O.O"
0,"Stuck in a Rural Redneck town
The people who are against abortion are usually people who should've been aborted in the
first place.
Children are savages, and they're gonna grow up to be douchebaggy parasites anyways.
They should be exterminated from an early age. Obviously, not all children; not all people
are inherintely evil and parasitic in nature. Anyone who is a benevolent or intelligent
person deserves a chance at life. However, who should be the judge for who will live or
die? All the nerds are too uptight to ever carry this out, so now we got stuck with the bush
presidency and they are the enbodiment of stupidity. This obeezy presidency is just bush
2.0, so I doubt the MASTER's plan of UNITY and PURIFICATION will ever come to
fruition.
As for euthanasia, life is horrible. Just because the majority of people can get laid and have
everything handed to them and live in heaven, doesn't mean 100% of people will. Even
in the first world, there's so much injustice. Like people living past age 30 still as virgins
with little friends. I'm sure a lot of them are friendly, hell that's why its called a Nice guy.
But this is a decadent society that rewards cruelty, manipulation, douchebaggetry, and
parasitic idiocy.
ALL humans should be entitled to an instant painless death. Jack Kevorkian was a hero!
Besides, the world population is at like 7.2 billion now, and only like 1 billion (at most) are
benevolent or intelligent. We need to exterminate this dumbass species to about 1 bill and
cap it there till we're a type 2 civilization. Thanks obama #"
0,"We must all be excellent to eachother
It's best to assume that this is your only life, so make the best of it!
Even if there isnt an after life, all humans should focus on how they'll be remembered
Do good deeds, be nice and cool and all that because I seriously doubt that if you're a
douche like a war criminal, corporate lawyer, congressman etc then all of a sudden pray
@ your death bed for acceptance that you'll automatically get into a heavenly plane of
existence ya know
The meaning of life - all life exists to pass on it's seed. But we're a intelligent species (well
except in the south or while you're high) so the meaning of all our lives should be to be
the uhh .. to be the best you can be!
Party on dudes"
0,"What if hitler got accepted into that art school then was manipulated by the jews to think
that all non-jews were evil greedy scumbags who steal money and try to ruin the world
financially
then he went on a mass murder genocide spree where he tried to establish an Israeli
Empire to take over the world? And he targeted people with blond hair and blue eyes."
0,"I don't want to be lame or anything but I should probably come out about all this.
In this town (flora vista)..
#1. I have no education. I dropped out of AHS back in ~10, then was forced to attend again
and dropped out again in ~12. I had a 3.5 GPA but the culture there was backwards as hell,
as if it was stuck in the 1950s. Nothing but savages and douchebags. I never motivated
myself to get a GED, I need the forced classes and structure of school, but couldn't deal
with all the methheads, roughnecks and rednecks.
#2. I have no job, I tried to apply at a few places, Wendys, General Dollar, and Dairy
Queen. All rejected lol And besides, I don't have the strength to deal with those people,
I can be a hard worker, but I got real bad social anxiety, hate and fear of all these people.
Plus I don't got a phone to keep in touch with the boss if they force me to go in for
overtime. I got a nocturnal schedule anyways. No car though, nor a license.
#3. I have no friends here. All my friends are digital now, only time in life that I had a
social life were the times I didnt live in the four corners. I tried a lot during my childhood
in this area. But let me just put it this way- one of my friends and their little brothers and
sisters, stealthily stole my Playstation 1 I had since the 90s, along with dozens of games -
all which could be worth thousands of dollars nowadays.
During high school, the other borrowed my N64 and games over the summer, promising
to return them once school started again, and guess what the jackass did? He sold it to a
guy in denver for $200. Didn't even give me any of the dough. Then threatened to kick my
ass when I defended myself from some hicks.
The others talked crap behind my back.. There was a time though around 4/20/12 when
I got high with a few people out in the hills. One of the kids lived a few houses down and
when I dropped out didn't even stop over to say hello.
I may not seem the type, but I've been somewhat outgoing, friendly, a joker. I wasn't
that kid who actively avoided people all the time and dressed in all black and listened to
goth music. I went in, did my damned work, made straight A's then went home to a crap
abusive family and did more work and surfed the net.
My point? I tried to socialize in this shit town but to no avail.
#4. Major Depression, large amounts of anger and hatred, lots of boredom.. I used to cure
it through bong hits and video games but I cant even find those enjoyable anymore.
My dad's a fat lazy idiot who watches fox news all day, weighs 350 pounds and throws
hissy fits over everything. Never even bothered to help me get my drivers license and I'm
not entitled or spoiled or anything, I'd gladly get a job and pay for my own car.
My moms a psycho hillbilly drunk from florida who's really mentally ill. She smokes and
drinks a lot and smells disgusting, and has no manners whatsoever. The most hillbilly
accent you can imagine.
My bro is an antisocial douche with no education at 27. He's a user, always manipulating
people and draining their resources. He moved back in to this crap house with his wife
who bored 2 kids from some other guy, ex-meth, no education either.
I got literally 0 contacts and I'm too lazy to get a GED.
Look, I'm sorry if I'm rude and hateful or anything, but I don't know what to do. I've lived
no life for nearly 19 years, most of which was in the miserable ass sun-belt. Did you know
new mexico has the fourth highest suicide rate?
I don't know if I'm even gonna get an education. I don't want to sound dumb but going
into the wild is another option, but I'm thinking of getting a truck with those roofed
installations on the back, then putting a bed in there and driving out of new mexico.
the DMV is being whiny and asking for a proof of bank account and proof of rent or
something; they're one of the worst DMVs out there and that's saying something, eh?
I am the only atheist I know in my town, and I've had knives pulled on me over it. If I do
drift, I need a gun, a water purifier, medkit and some MREs. I've been thinking of driving
to either the Denver area, San Jose, CA, Oregon, Washington, or Maine. I'd love to become
a Canadian resident, but I gotta get a GED, get accepted into a 4 year college before I have
any chances. It'd be nearing the 2020s before that.
Every day I wake up filled with misery, boredom and hatred. In fact, I spent most of the
2010s only on youtube, barely any forums, or in school where I was pretty miserable. I do
get out of the house every day, where I take 2~4 hour walks to shed off some pounds and
build stamina.
Here's my area. I dont like giving out personal info too much but I just want to prove my
point. I live in the heart of the southwest, with no cities for like 200 miles in any direction.
This causes an effect where the area I'm in is extremely rural. With the mormon influence
of utah, it also makes it really republican, like 80%. Everyone does meth, tobacco like
crazy, lots of alcohol etc. AHS had a graduation rate of like 50%.
Should I escape this dump or deal with it? How can I become polite and make some
friends out there in this world?"
